entry_time,symbol,regime,signal,entry,sl,tp,outcome,trade_id,exit_time,exit_price,status,pnl,duration_minutes
2026-03-12 14:00:59+00:00,AUDUSD,0,BUY (Mean Reversion),0.71023,0.70798,0.71323,❌ STOP LOSS,,2026-03-12 15:00:00+00:00,0.70798,CLOSED,-0.0022499999999999,59.016666666666666
2026-03-12 14:01:00+00:00,NZDUSD,0,BUY (Mean Reversion),0.58796,0.58634,0.59011,❌ STOP LOSS,,2026-03-12 15:00:00+00:00,0.58634,CLOSED,-0.00162,59.0
2026-03-12 15:55:49+00:00,AUDUSD,0,BUY (Mean Reversion),0.70957,0.7071,0.71287,❌ STOP LOSS,,2026-03-13 03:00:00+00:00,0.7071,CLOSED,-0.00247,664.1833333333333
2026-03-12 15:55:57+00:00,USDCAD,0,SELL (Mean Reversion),1.36199,1.36453,1.3586,❌ STOP LOSS,,2026-03-12 22:00:00+00:00,1.36453,CLOSED,-0.0025399999999999,364.05
2026-03-12 15:56:01+00:00,USDCHF,0,SELL (Mean Reversion),0.78432,0.78623,0.78178,❌ STOP LOSS,,2026-03-12 20:00:00+00:00,0.78623,CLOSED,-0.0019099999999999,243.9833333333333
2026-03-12 15:56:09+00:00,NZDUSD,0,BUY (Mean Reversion),0.5872,0.58544,0.58954,❌ STOP LOSS,,2026-03-12 20:00:00+00:00,0.58544,CLOSED,-0.00176,243.85
2026-03-12 16:56:10+00:00,USDCAD,0,SELL (Mean Reversion),1.3626,1.36516,1.35919,❌ STOP LOSS,,2026-03-13 06:00:00+00:00,1.36516,CLOSED,-0.0025599999999998,783.8333333333334
2026-03-12 16:56:11+00:00,NZDUSD,0,BUY (Mean Reversion),0.58606,0.5843,0.58842,❌ STOP LOSS,,2026-03-13 03:00:00+00:00,0.5843,CLOSED,-0.0017599999999999,603.8166666666667
2026-03-12 17:47:17+00:00,USDCAD,0,SELL (Mean Reversion),1.36281,1.36538,1.35939,❌ STOP LOSS,,2026-03-13 06:00:00+00:00,1.36538,CLOSED,-0.0025699999999999,732.7166666666667
2026-03-12 17:47:18+00:00,NZDUSD,0,BUY (Mean Reversion),0.58586,0.58413,0.58815,❌ STOP LOSS,,2026-03-13 04:00:00+00:00,0.58413,CLOSED,-0.00173,612.7
2026-03-12 18:46:40+00:00,USDCHF,0,SELL (Mean Reversion),0.7853,0.7872,0.78277,❌ STOP LOSS,,2026-03-13 04:00:00+00:00,0.7872,CLOSED,-0.0019,553.3333333333334
2026-03-12 18:46:42+00:00,XAUUSD,0,BUY (Mean Reversion),5107.0,5072.78811,5152.61585,❌ STOP LOSS,,2026-03-12 20:00:00+00:00,5072.78811,CLOSED,-34.211889999999585,73.3
2026-03-12 19:39:53+00:00,XAUUSD,0,BUY (Mean Reversion),5099.5,5065.10452,5145.36064,❌ STOP LOSS,,2026-03-12 20:00:00+00:00,5065.10452,CLOSED,-34.395480000000134,20.116666666666667
2026-03-12 20:30:03+00:00,USDCAD,0,SELL (Mean Reversion),1.36375,1.36623,1.36044,❌ STOP LOSS,,2026-03-13 07:00:00+00:00,1.36623,CLOSED,-0.00248,629.95
2026-03-12 21:29:15+00:00,XAUUSD,0,BUY (Mean Reversion),5084.1001,5047.80074,5132.49924,❌ STOP LOSS,,2026-03-13 14:00:00+00:00,5047.80074,CLOSED,-36.29935999999998,990.75
2026-03-13 06:45:56+00:00,NZDUSD,0,BUY (Mean Reversion),0.58187,0.5804,0.58383,✅ TAKE PROFIT,,2026-03-13 12:00:00+00:00,0.58383,CLOSED,0.0019599999999999,314.06666666666666
2026-03-13 06:45:57+00:00,GBPJPY,0,BUY (Mean Reversion),212.244,211.90161,212.70053,❌ STOP LOSS,,2026-03-13 07:00:00+00:00,211.90161,CLOSED,-0.3423899999999946,14.05
2026-03-13 07:41:31+00:00,EURUSD,0,BUY (Mean Reversion),1.14745,1.14569,1.14979,❌ STOP LOSS,,2026-03-13 08:00:00+00:00,1.14569,CLOSED,-0.0017599999999999,18.48333333333333
2026-03-13 07:41:32+00:00,GBPUSD,0,BUY (Mean Reversion),1.32922,1.32681,1.33244,❌ STOP LOSS,,2026-03-13 08:00:00+00:00,1.32681,CLOSED,-0.00241,18.466666666666665
2026-03-13 07:41:33+00:00,AUDUSD,0,BUY (Mean Reversion),0.70323,0.70116,0.706,✅ TAKE PROFIT,,2026-03-13 12:00:00+00:00,0.706,CLOSED,0.0027699999999999,258.45
2026-03-13 07:41:34+00:00,USDCAD,0,SELL (Mean Reversion),1.36606,1.36836,1.36299,❌ STOP LOSS,,2026-03-13 12:00:00+00:00,1.36836,CLOSED,-0.0022999999999999,258.43333333333334
2026-03-13 07:41:35+00:00,NZDUSD,0,BUY (Mean Reversion),0.58116,0.57968,0.58313,✅ TAKE PROFIT,,2026-03-13 10:00:00+00:00,0.58313,CLOSED,0.00197,138.41666666666666
